,0
Dst Port,0.09828101091745571
Fwd Seg Size Min,0.09438076054257347
Init Fwd Win Byts,0.09255060898824848
Fwd Header Len,0.045419806621921556
Flow IAT Mean,0.045014895423523826
Flow Duration,0.039366184487128336
Flow Pkts/s,0.03891286895310447
Fwd Pkts/s,0.037615876516178905
Flow IAT Max,0.036257322911865106
Bwd Pkts/s,0.03517798095221801
Init Bwd Win Byts,0.02935386990981333
Fwd IAT Max,0.02892256131852311
Fwd IAT Tot,0.028522486367098344
Fwd IAT Mean,0.02595516490928146
Flow IAT Min,0.025663580166219127
Bwd Header Len,0.023630695190489756
Fwd IAT Min,0.021252175491091065
Subflow Fwd Pkts,0.013622591165874727
Tot Bwd Pkts,0.013616035838898097
Subflow Bwd Pkts,0.011760534075188527
Tot Fwd Pkts,0.011578011632032426
ACK Flag Cnt,0.010097758558037418
URG Flag Cnt,0.009951128547312952
Bwd Pkt Len Mean,0.009673533113580058
Bwd Pkt Len Max,0.009212261927611284
TotLen Fwd Pkts,0.008618445636975561
Subflow Fwd Byts,0.008077163160911904
Fwd Act Data Pkts,0.007933544325055426
Bwd Seg Size Avg,0.007298652445467019
Fwd Pkt Len Max,0.007134813121334476
Pkt Len Max,0.007008466227639307
Pkt Size Avg,0.006858919879104146
RST Flag Cnt,0.0065529574650995655
Flow Byts/s,0.006500625918426219
Bwd IAT Min,0.006157782987707955
TotLen Bwd Pkts,0.005855741529358293
PSH Flag Cnt,0.005788593231009372
Subflow Bwd Byts,0.0057016614861468695
Pkt Len Mean,0.005448033465134051
Flow IAT Std,0.005400956369781432
